PRODUCT_URL,PRODUCT_NAME,PRICE,RATINGS,REVIEWS
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-32,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,₹239,4.0 out of 5 stars,"1,983"
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-33,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"₹1,887",3.9 out of 5 stars,364
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-34,Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey,₹898,4.2 out of 5 stars,"53,028"
https://www.amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-35,Gear Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,₹769,4.2 out of 5 stars,"5,373"
https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-36,American Tourister Casual Backpack,"₹1,099",4.1 out of 5 stars,"14,185"
https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-35,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,124"
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QM2GD/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-36,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510,5.0 out of 5 stars,2
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-37,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,₹999,4.0 out of 5 stars,"5,782"
https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-38,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,₹549,4.0 out of 5 stars,"2,369"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-39,"WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags",₹599,4.1 out of 5 stars,700
https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-40,Half Moon Strike 35L Unisex Spacious School/ Laptop/ College/ Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699,3.6 out of 5 stars,43
https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-41,F Gear String 11 Ltrs Nylon Black Gym Bag,₹189,4.0 out of 5 stars,414
https://www.amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-42,"WILD MODA Women's Shoulder Bag, Set of 1",₹849,4.3 out of 5 stars,"3,314"
https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-45,"ZANIC'S Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (Pink)",₹749,4.6 out of 5 stars,25
https://www.amazon.in/Baggit-Autumn-Winter-Leather-Womens-Handbag/dp/B08SCDTRKP/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-46,Baggit Women Hobo Handbag (ROSE),₹595,4.2 out of 5 stars,177
https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-47,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack , Water Resistant and Light Weight, 1 year Warranty",₹549,3.9 out of 5 stars,"8,340"
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-48,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹489,3.9 out of 5 stars,"9,818"
https://www.amazon.in/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-49,Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),₹539,4.1 out of 5 stars,"15,913"
https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-50,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,857"
https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-51,Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),"₹1,449",4.4 out of 5 stars,"1,884"
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-52,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",₹512,3.9 out of 5 stars,345
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-51,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",₹512,3.9 out of 5 stars,(345)
https://www.amazon.in/Baggit-Autumn-Winter-Leather-Womens-Handbag/dp/B08SCDTRKP/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-52,Baggit Women Hobo Handbag (ROSE),₹595,4.2 out of 5 stars,(177)
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-53,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"₹1,695",4.3 out of 5 stars,"(3,183)"
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-54,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8 out of 5 stars,(627)
https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-55,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),₹999,4.4 out of 5 stars,"(6,047)"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-56,"WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags",₹599,4.1 out of 5 stars,(700)
https://www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-57,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",₹449,3.8 out of 5 stars,"(1,215)"
https://www.amazon.in/PETRICE-Multifunctional-Travel-Makeup-Organiser/dp/B07W22LC2D/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-58,PETRICE Multifunctional Travel Bag Extra Large Makeup Organiser with Hook (Navy Blue),₹499,4.2 out of 5 stars,"(1,770)"
https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-61,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹559,4.2 out of 5 stars,"(1,481)"
https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-62,Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black),₹471,4.0 out of 5 stars,"(1,061)"
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1675269047&sprefix=ba%2Caps%2C283&sr=8-63,Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),₹377,4.3 out of 5 stars,"(6,312)"
